Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Surathkal,01-Apr-21,55.00;85.00;1860.00;30.00,90.00;135.00;3005.00;45.00,190.00 ;285.00;6300.00;95.00,205.00 ;310.00;6875.00;105.00,295.00 ;445.00;9880.00;150.00,295.00 ;445.00;9880.00;150.00,360.00 ;540.00;12030.00;180.00,
Mangalgi,01-Apr-21,95.00;140.00;3150.00;45.00,155.00;230.00;5090.00;75.00,320.00 ;480.00;10660.00;160.00,350.00 ;525.00;11630.00;175.00,500.00 ;750.00;16720.00;250.00,500.00 ;750.00;16720.00;250.00,610.00 ;915.00;20355.00;305.00,
Towards Bengaluru,01-Jul-19,20.00;35.00;670.00;NA,35.00;55.00;1115.00;NA,75.00 ;115.00;2290.00;NA,125.00 ;185.00;3685.00;NA,,,,
Kirasave,01-Apr-21,45.00;70.00;1545.00;NA,75.00;110.00;2495.00;NA,155.00 ;235.00;5225.00;NA,245.00 ;370.00;8195.00;NA,245.00 ;370.00;8195.00;NA,245.00 ;370.00;8195.00;NA,300.00 ;450.00;9975.00;NA,
Vanagari,01-Apr-21,55.00;80.00;1775.00;NA,85.00;130.00;2870.00;NA,180.00 ;270.00;6015.00;NA,285.00 ;425.00;9435.00;NA,285.00 ;425.00;9435.00;NA,285.00 ;425.00;9435.00;NA,345.00 ;515.00;11485.00;NA,
Kaythsandra/Tumkur/Chokkanahalli,01-Jul-19,35.00;NA;NA;10.00,65.00;NA;NA;20.00,130.00 ;NA;NA;35.00,,,,,
Narendra (MoRTH),28-May-2013          ,45.00;45.00;NA;NA,113.00;113.00;NA;NA,151.00 ;151.00;NA;NA,195.00 ;195.00;NA;NA,178.00 ;178.00;NA;NA,,,01-Apr-14
Kognoli,01-Apr-21,75.00;115.00;2500.00;40.00,120.00;180.00;4040.00;60.00,255.00 ;380.00;8465.00;125.00,275.00 ;415.00;9235.00;140.00,400.00 ;595.00;13275.00;200.00,400.00 ;595.00;13275.00;200.00,485.00 ;725.00;16165.00;240.00,
Kasaba (Bijapur),01-Apr-21,60.00;90.00;2000.00;NA,95.00;145.00;3235.00;NA,205.00 ;305.00;6775.00;NA,320.00 ;480.00;10625.00;NA,320.00 ;480.00;10625.00;NA,320.00 ;480.00;10625.00;NA,390.00 ;580.00;12935.00;NA,
Karbylu (Bellur Cross),01-Sep-19,45.00;65.00;1350.00;NA,80.00;120.00;2360.00;NA,155.00 ;235.00;4725.00;NA,255.00 ;380.00;7590.00;NA,255.00 ;380.00;7590.00;NA,255.00 ;380.00;7590.00;NA,,
K N Hundy,01-Apr-21,50.00;75.00;1645.00;25.00,80.00;120.00;2655.00;40.00,165.00 ;250.00;5570.00;85.00,180.00 ;275.00;6075.00;90.00,260.00 ;395.00;8730.00;130.00,260.00 ;395.00;8730.00;130.00,320.00 ;480.00;10630.00;160.00,
Hoskote,01-Sep-19,20.00;25.00;540.00;NA,30.00;45.00;950.00;NA,65.00 ;95.00;1900.00;NA,100.00 ;155.00;3050.00;NA,100.00 ;155.00;3050.00;NA,100.00 ;155.00;3050.00;NA,100.00 ;155.00;3050.00;NA,
