plazaCode,PlazaName,Latitude,Longitude,Issue,
167002,Pallikonda Toll Plaza,12.905766,78.9495443,,
169001,L&T Krishnagiri Thopur Toll Plaza,12.0063818,78.0784318,,
170001,Velanchettiyur,10.6989386,77.9306694,,
176001,Valvanthankottai,10.7444035,78.8317844,,
176002,Elliyarpathy,9.78307,78.09443,,
176003,Pudurpandiyapuram,8.8628019,78.1150105,,
180001,Tundla Toll Plaza,27.218269,78.2703019,,
180002,Gurau (Formerly Semra Atikabad) Toll Plaza,26.996749,78.777358,,
320068,Vighaket Toll Plaza,24.789767,78.448978,,
196001,Itaunja Toll Plaza,27.1034866,80.8814285,,
197001,Khairabad Toll Plaza,27.503832,80.752643,,
199001,KOKHRAJ (Sirohi) Toll Plaza,25.5761963,81.5271843,,
199002,HANDIYA (Sujala ) Toll Plaza,25.3788619,82.1545068,,
199003,Nawabganj Toll Plaza,26.6231267,80.6925925,,
199004,SORAON Toll Plaza,25.591906,81.841782,,
199005,SAHSON Toll Plaza,25.490249,81.996729,,
204001,Rajchandrapur Toll Plaza,22.653955,88.32927,,
205001,Jaladhulagori toll plaza,22.5731844,88.1795762,,
205002,Debra toll plaza,22.3969087,87.5206625,,
208001,Sonapetya,22.335453,87.8673139,,
210001,Chandermore Plaza,24.5632665,88.0177303,,
210002,Shibpur Plaza,24.1506237,88.184179,,
380017,Barsoni Toll Plaza,25.8047464,87.5885442,,
216001,Sivaya Toll Plaza,29.0956025,77.7087762,,
217002,Mandal Toll Plaza,21.1347891,73.476276,,
220001,Raipur,26.06377,74.059467,,
220002,Indranagar,25.829714,73.4576568,,
220003,BIRAMI,25.37559,73.20159,,
230001,IVRCL Chengapally Tollways Limited,11.095256,77.15127,,
330107,Methoon Toll Plaza,24.4200726,76.5016955,,
330104,Kishorepura Toll Plaza,25.135915,75.7966206,,
235001,Mandawara Toll Plaza,27.525225,75.134605,,
235002,Negadiya Toll Plaza,24.7998266,73.7586806,,
345067,Chikhalikala,21.842061,78.433398,,
340025,Kelwad,21.4713558,78.870355,,
239100,LUHARLI Toll plaza,28.4992197,77.6250672,,
239101,GABHANA Tollplaza,28.062821,77.946047,,
239700,PamPamPallam Toll Plaza,10.8131538,76.7957998,,
239800,Balgudar Toll Plaza,25.202388,86.0797207,,
370023,Guabari Toll Plaza,26.4766304,89.754365,,
320073,Nuruddinpur toll plaza,26.0960295,83.0308888,,
320075,Kunwarpur,25.6729416,82.3137639,,
241900,Lakholi Toll Plaza,21.2029888,81.9031381,,
242000,Madina Toll Plaza,28.937586,76.400471,,
242001,Mayar Toll Plaza,29.1008292,75.8827142,,
120001,Shanthigrama,12.982823,76.229022,,
336010,Dari,20.961277,70.3321229,,
217001,Bhatia,21.090473,72.9202523,,
379006,Pahammawlein Toll Plaza,25.9926847,91.8582643,,
239600,Nangli Toll Plaza,13.194236,78.545025,,
