Report type:,Route,,,,,,
,,,,,,,
Device:,HR02AM4455,,Distance:,654.5 km,,,
Group:,,,,,,,
Period:,2021-04-01 00:00:00 - 2021-04-30 23:59:59,,,,,,
,,,,,,,
Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes
TRUE,2021-04-13 17:31:25,28.664654,77.341608,0 m,33.0 km/h,"Saur Urja Marg, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=854170  charge=true  motion=true  blocked=false  distance=220.75  totalDistance=3877.74  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:31:34,28.664446,77.341217,0 m,0.0 km/h,"Saur Urja Marg, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=861293  charge=true  motion=false  blocked=false  distance=44.74  alarm=parking  totalDistance=3922.48  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:32:35,28.661825,77.336386,0 m,22.0 km/h,"Govind Ballabh Pant Marg, Maharajpur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=924085  charge=true  motion=true  blocked=false  distance=554.81  alarm=parking  totalDistance=4477.29  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:33:35,28.659448,77.332249,0 m,43.0 km/h,"Link Road, Bharat Electronics Limited Compound, Sahibabad Industrial Area Site 4, Ghaziabad, Ghaziabad, Uttar Pradesh 201010, India",hours=981123  charge=true  motion=true  blocked=false  distance=483.3699999999999  totalDistance=4960.66  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:33:45,28.658688,77.331318,0 m,44.0 km/h,"Link Rd, Plot Alpha, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=991143  charge=true  motion=true  blocked=false  distance=124.18  alarm=parking  totalDistance=5084.84  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:33:55,28.657929,77.330496,0 m,36.0 km/h,"Plot No. 19, Site 4, Sahibabad Industrial Area, Sahibabad, Near Kaushambi Metro Station, Ghaziabad, Uttar Pradesh 201010, India",hours=1004223  charge=true  motion=true  blocked=false  distance=116.60999999999967  totalDistance=5201.45  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:34:05,28.657482,77.329969,0 m,15.0 km/h,"Link Rd, Maharajpur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1010315  charge=true  motion=true  blocked=false  distance=71.59  alarm=parking  totalDistance=5273.04  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:34:11,28.657238,77.329712,0 m,18.0 km/h,"Link Rd, Plot Alpha, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1016373  charge=true  motion=true  blocked=false  distance=37.029999999999745  alarm=parking  totalDistance=5310.07  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:34:25,28.656532,77.329027,0 m,22.0 km/h,"Link Rd, Plot Alpha, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1031833  charge=true  motion=true  blocked=false  distance=103.18000000000029  totalDistance=5413.25  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:34:33,28.656174,77.328764,0 m,18.0 km/h,"Link Rd, Maharajpur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1039201  charge=true  motion=true  blocked=false  distance=47.35  alarm=parking  totalDistance=5460.6  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:34:39,28.655865,77.328468,0 m,29.0 km/h,"Link Rd, Maharajpur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1045283  charge=true  motion=true  blocked=false  distance=45.01999999999953  alarm=parking  totalDistance=5505.62  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:34:59,28.654997,77.327642,0 m,0.0 km/h,"Link Road, Main Road, Maharajpur, Ghaziabad, Uttar Pradesh 201010, India",hours=1064577  charge=true  motion=false  blocked=false  distance=125.84000000000015  alarm=parking  totalDistance=5631.46  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:35:25,28.654046,77.326691,0 m,34.0 km/h,"37/2/12, Link Rd, Maharajpur, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1091122  charge=true  motion=true  blocked=false  distance=140.85999999999967  alarm=parking  totalDistance=5772.32  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:36:45,28.649307,77.322406,0 m,40.0 km/h,"Link Road, Sahibabad Industrial Area Site 4, Ghaziabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1181309  charge=true  motion=true  blocked=false  distance=674.2700000000004  totalDistance=6446.59  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:36:45,28.649307,77.322406,0 m,40.0 km/h,"Link Road, Sahibabad Industrial Area Site 4, Ghaziabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1201296  charge=true  motion=true  blocked=false  distance=202.06  totalDistance=6851.45  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:36:55,28.648412,77.322170,0 m,30.0 km/h,"Link Road, Sahibabad Industrial Area Site 4, Ghaziabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1183398  charge=true  motion=true  blocked=false  distance=102.31  alarm=parking  totalDistance=6548.9  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:37:45,28.645866,77.322188,0 m,8.0 km/h,"11, Link Rd, GDA Market, Anand Vihar, Kaushambi, Ghaziabad, Uttar Pradesh 201010, India",hours=1231315  charge=true  motion=true  blocked=false  distance=283.7400000000007  totalDistance=6832.64  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:37:57,28.645712,77.322733,0 m,23.0 km/h,"45, Dr Burman Rd, Kaushambi, Ghaziabad, Uttar Pradesh 201010, India",hours=1243909  charge=true  motion=true  blocked=false  distance=55.9  alarm=parking  totalDistance=6888.54  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:38:26,28.645830,77.325520,0 m,0.0 km/h,"45, Dr Burman Rd, Kaushambi, Ghaziabad, Uttar Pradesh 201010, India",hours=1271317  charge=true  motion=false  blocked=false  distance=272.6300000000001  totalDistance=7161.17  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:38:53,28.645695,77.325006,0 m,38.0 km/h,"45, Dr Burman Rd, Kaushambi, Ghaziabad, Uttar Pradesh 201010, India",hours=1298753  charge=true  motion=true  blocked=false  distance=52.4  alarm=parking  totalDistance=7213.57  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:39:00,28.645654,77.324231,0 m,37.0 km/h,"45, Dr Burman Rd, Kaushambi, Ghaziabad, Uttar Pradesh 201010, India",hours=1305464  charge=true  motion=true  blocked=false  distance=75.85000000000036  alarm=parking  totalDistance=7289.42  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:39:46,28.645457,77.319109,0 m,37.0 km/h,"Dr Burman Rd, Plot Alpha, Sahibabad Industrial Area Site 4, Kaushambi, Ghaziabad, Uttar Pradesh 201012, India",hours=1351566  charge=true  motion=true  blocked=false  distance=500.8699999999999  totalDistance=7790.29  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:39:56,28.645345,77.318499,0 m,12.0 km/h,"Dr Burman Rd, Plot Alpha, Sahibabad Industrial Area Site 4, Kaushambi, Ghaziabad, Uttar Pradesh 201012, India",hours=1362111  charge=true  motion=true  blocked=false  distance=60.94  alarm=parking  totalDistance=7851.23  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:40:36,28.645048,77.317258,0 m,14.0 km/h,"Pacific Mall, Plot No. 1, Dr Burman Rd, Plot Alpha, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",hours=1413184  charge=true  motion=true  blocked=false  distance=126.73000000000047  totalDistance=7977.96  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:40:41,28.644818,77.317145,0 m,20.0 km/h,"Chaudhary Charan Singh Marg, Jaipuria Enclave, Kaushambi, Delhi, 110092, India",hours=1414077  charge=true  motion=true  blocked=false  distance=27.89  alarm=parking  totalDistance=8005.85  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:42:56,28.638166,77.314788,0 m,0.0 km/h,"Chaudhary Charan Singh Marg, Ghazipur Village, Gazipur, Delhi, 110091, India",hours=1523314  charge=true  motion=false  blocked=false  distance=775.8799999999992  totalDistance=8781.73  ignition=false  batteryLevel=66
TRUE,2021-04-13 17:43:36,28.638069,77.314777,0 m,0.0 km/h,"Chaudhary Charan Singh Marg, Ghazipur Village, Gazipur, Delhi, 110091, India",hours=1523314  charge=true  motion=false  blocked=false  distance=10.81000000000131  alarm=parking  totalDistance=8792.54  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:43:56,28.638069,77.314777,0 m,0.0 km/h,"Chaudhary Charan Singh Marg, Ghazipur Village, Gazipur, Delhi, 110091, India",hours=1533255  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=8792.54  ignition=false  batteryLevel=66
TRUE,2021-04-13 17:44:26,28.638069,77.314777,0 m,0.0 km/h,"Chaudhary Charan Singh Marg, Ghazipur Village, Gazipur, Delhi, 110091, India",hours=1533255  charge=true  motion=false  blocked=false  distance=0.0  alarm=parking  totalDistance=8792.54  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:44:36,28.637757,77.314710,0 m,15.0 km/h,"Chaudhary Charan Singh Marg, Ghazipur Village, Gazipur, Delhi, 110091, India",hours=1543055  charge=true  motion=true  blocked=false  distance=35.30999999999949  alarm=parking  totalDistance=8827.85  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:45:16,28.636406,77.314454,0 m,26.0 km/h,"40, Swami Dayanand Marg, Patparganj Industrial Area, Patparganj, Delhi, 110092, India",hours=1583395  charge=true  motion=true  blocked=false  distance=155.04999999999927  totalDistance=8982.9  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:45:21,28.636367,77.314082,0 m,32.0 km/h,"40, Swami Dayanand Marg, Patparganj Industrial Area, Patparganj, Delhi, 110092, India",hours=1590463  charge=true  motion=true  blocked=false  distance=36.58  alarm=parking  totalDistance=9019.48  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:45:26,28.636319,77.313592,0 m,35.0 km/h,"Swami Dayanand Marg, Patparganj Industrial Area, Patparganj, Delhi, 110092, India",hours=1593050  charge=true  motion=true  blocked=false  distance=48.220000000001164  alarm=parking  totalDistance=9067.7  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:47:56,28.635922,77.307074,0 m,0.0 km/h,"45, Swami Dayanand Marg, Hasanpur, Patparganj Industrial Area, Patparganj, Delhi, 110092, India",hours=1743405  charge=true  motion=false  blocked=false  distance=639.2399999999998  alarm=parking  totalDistance=9706.94  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:48:06,28.635928,77.306631,0 m,25.0 km/h,"45, Swami Dayanand Marg, Hasanpur, Patparganj Industrial Area, Patparganj, Delhi, 110092, India",hours=1803057  charge=true  motion=true  blocked=false  distance=43.31999999999971  alarm=parking  totalDistance=9750.26  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:48:16,28.636029,77.306029,0 m,17.0 km/h,"Madhu Vihar Rd, Patparganj Industrial Area, Patparganj, Delhi, 110092, India",hours=1803828  charge=true  motion=true  blocked=false  distance=59.909999999999854  alarm=parking  totalDistance=9810.17  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:48:24,28.635503,77.305593,0 m,33.0 km/h,"Madhu Vihar Rd, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1803830  charge=true  motion=true  blocked=false  distance=72.34000000000015  alarm=parking  totalDistance=9882.51  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:48:31,28.635036,77.305146,0 m,33.0 km/h,"Madhu Vihar Rd, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1803831  charge=true  motion=true  blocked=false  distance=67.95999999999913  alarm=parking  totalDistance=9950.47  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:48:36,28.634886,77.304755,0 m,26.0 km/h,"C14, Madhu Vihar Rd, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1803833  charge=true  motion=true  blocked=false  distance=41.68000000000029  alarm=parking  totalDistance=9992.15  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:48:45,28.634803,77.304289,0 m,13.0 km/h,"C14, Madhu Vihar Rd, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1806423  charge=true  motion=true  blocked=false  distance=46.399999999999636  alarm=parking  totalDistance=10038.55  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:48:50,28.634863,77.304037,0 m,15.0 km/h,"C14, Madhu Vihar Rd, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1806424  charge=true  motion=true  blocked=false  distance=25.530000000000655  alarm=parking  totalDistance=10064.08  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:49:05,28.634933,77.303673,0 m,6.0 km/h,"C14, Madhu Vihar Rd, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1815922  charge=true  motion=true  blocked=false  distance=36.44000000000051  alarm=parking  totalDistance=10100.52  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:49:12,28.634923,77.303308,0 m,21.0 km/h,"Madhu Vihar Market Main Rd, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1819140  charge=true  motion=true  blocked=false  distance=35.68000000000029  alarm=parking  totalDistance=10136.2  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:49:46,28.634227,77.301318,0 m,35.0 km/h,"69, Indraprastha Extension, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1853078  charge=true  motion=true  blocked=false  distance=209.34000000000015  totalDistance=10345.54  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:49:56,28.633772,77.300504,0 m,37.0 km/h,"C 38, Madhu Vihar Rd, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1863874  charge=true  motion=true  blocked=false  distance=94.2  alarm=parking  totalDistance=10439.74  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:50:26,28.632019,77.298187,0 m,23.0 km/h,"Government Senior Secondary School, Chander Vihar, Delhi, 110092, India",hours=1893072  charge=true  motion=true  blocked=false  distance=299.03000000000065  totalDistance=10738.77  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:50:32,28.631689,77.298294,0 m,17.0 km/h,"Madhu Vihar Rd, Chander Vihar, Mandawali, Delhi, 110092, India",hours=1898874  charge=true  motion=true  blocked=false  distance=38.2  alarm=parking  totalDistance=10776.97  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:50:37,28.631402,77.298641,0 m,28.0 km/h,"Madhu Vihar Rd, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1903872  charge=true  motion=true  blocked=false  distance=46.5  alarm=parking  totalDistance=10823.47  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:50:53,28.630506,77.299621,0 m,15.0 km/h,"Prince Apartments, Indraprastha extension, plot no. 54, New Delhi, India, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1919896  charge=true  motion=true  blocked=false  distance=138.32000000000153  alarm=parking  totalDistance=10961.79  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:50:58,28.630264,77.299684,0 m,17.0 km/h,"Prince Apartments, Indraprastha extension, plot no. 54, New Delhi, India, I.P.Extension, Patparganj, Delhi, 110092, India",hours=1924876  charge=true  motion=true  blocked=false  distance=27.55999999999949  alarm=parking  totalDistance=10989.35  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:51:07,28.629627,77.299961,0 m,30.0 km/h,"Madhu Vihar Rd, I.P.Extension, Patparganj, New Delhi, Delhi 110092, India",hours=1933864  charge=true  motion=true  blocked=false  distance=75.90999999999985  alarm=parking  totalDistance=11065.26  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:51:26,28.629050,77.300293,0 m,0.0 km/h,"Madhu Vihar Rd, I.P.Extension, Patparganj, New Delhi, Delhi 110092, India",hours=1953152  charge=true  motion=false  blocked=false  distance=71.98999999999978  alarm=parking  totalDistance=11137.25  ignition=true  batteryLevel=66
TRUE,2021-04-13 17:51:46,28.628999,77.300411,0 m,0.0 km/h,"Madhu Vihar Rd, I.P.Extension, Patparganj, New Delhi, Delhi 110092, India",hours=1953692  charge=true  motion=false  blocked=false  distance=12.80999999999949  totalDistance=11150.06  ignition=false  batteryLevel=66
TRUE,2021-04-13 18:18:36,28.628999,77.300411,0 m,0.0 km/h,"Madhu Vihar Rd, I.P.Extension, Patparganj, New Delhi, Delhi 110092, India",hours=1953692  charge=true  motion=false  blocked=false  distance=0.0  totalDistance=11150.06  ignition=false  batteryLevel=83
